TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1.CR6	58711	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
7/22/2016 8:00	5625	0.047	0.063	0.054	0.045	0.047	18.17	20.58	19.84	16.93	15.41	-458	19.04	-397.3	21.3	-957	19.2	-796.7	16.9	12.23
7/22/2016 8:15	5626	0.047	0.063	0.054	0.045	0.047	18.08	20.47	19.82	16.95	15.41	-455	18.91	-398.4	21.21	-955	19.19	-795.4	16.9	12.22
7/22/2016 8:30	5627	0.047	0.063	0.054	0.045	0.047	18.06	20.36	19.8	16.94	15.41	-455.1	18.82	-399.3	21.13	-958	19.19	-795.7	16.9	12.22
7/22/2016 8:45	5628	0.047	0.063	0.054	0.045	0.047	18.09	20.26	19.79	16.96	15.42	-452.3	18.8	-401.1	21.05	-961	19.2	-795.6	16.9	12.23
7/22/2016 9:00	5629	0.047	0.062	0.054	0.045	0.047	18.18	20.16	19.77	16.96	15.41	-449.5	18.8	-402.6	20.98	-960	19.19	-793.7	16.9	12.23
7/22/2016 9:15	5630	0.047	0.062	0.054	0.045	0.047	18.25	20.07	19.75	16.96	15.42	-449.9	18.83	-404	20.9	-964	19.15	-792.7	16.9	12.23
7/22/2016 9:30	5631	0.047	0.062	0.054	0.045	0.047	18.32	20	19.73	16.97	15.42	-448.6	18.9	-406.9	20.8	-964	19.11	-792.2	16.9	12.24
7/22/2016 9:45	5632	0.047	0.062	0.054	0.045	0.047	18.4	19.94	19.72	16.99	15.43	-447	18.93	-410.3	20.73	-960	19.1	-793.6	16.9	12.22
7/22/2016 10:00	5633	0.048	0.062	0.054	0.045	0.047	18.46	19.89	19.69	16.99	15.42	-445.7	19	-413.4	20.67	-966	19.1	-793.1	16.9	12.22
7/22/2016 10:15	5634	NAN	NAN	NAN	NAN	NAN	18.54	19.84	19.67	16.99	15.43	NAN	19	NAN	20.6	NAN	19.1	NAN	16.9	0
7/22/2016 10:30	5635	0.047	0.062	0.053	0.045	0.047	18.64	19.79	19.66	17.01	15.44	-521.3	19.1	-413.9	20.52	-950	19.1	-856	16.9	13.27
7/22/2016 10:45	5636	0.048	0.062	0.053	0.045	0.047	18.73	19.77	19.63	17	15.44	-518.1	19.15	-415.3	20.49	-951	19.1	-858	16.9	13.27
7/22/2016 11:00	5637	0.048	0.062	0.053	0.045	0.047	18.83	19.74	19.61	17.01	15.44	-515.8	19.21	-416.6	20.4	-957	19.1	-859	16.9	13.27
7/22/2016 11:15	5638	0.047	0.062	0.053	0.045	0.047	18.93	19.71	19.58	17.01	15.44	-515.5	19.3	-417.3	20.37	-958	19.1	-860	16.9	13.25
7/22/2016 11:30	5639	0.048	0.062	0.053	0.045	0.047	19.03	19.69	19.56	17.01	15.45	-514.4	19.36	-418.3	20.3	-962	19.1	-862	16.9	13.26
7/22/2016 11:45	5640	0.048	0.062	0.053	0.045	0.047	19.15	19.67	19.54	17.02	15.45	-513.6	19.45	-419.2	20.3	-962	19.1	-865	16.9	13.25
7/22/2016 12:00	5641	0.048	0.062	0.053	0.045	0.047	19.28	19.67	19.51	17.02	15.45	-512.8	19.62	-420	20.2	-965	19.1	-867	16.9	13.26
7/22/2016 12:15	5642	0.048	0.062	0.053	0.045	0.047	19.45	19.67	19.49	17.03	15.45	-511.4	19.74	-420.8	20.2	-965	19.1	-868	16.9	13.23
7/22/2016 12:30	5643	0.048	0.062	0.053	0.045	0.047	19.71	19.67	19.46	17.02	15.46	-508.3	19.86	-421.4	20.2	-963	19.09	-869	16.9	13.26
7/22/2016 12:45	5644	0.048	0.062	0.053	0.045	0.046	20.47	19.67	19.44	17.04	15.46	-508.3	20.05	-422.4	20.1	-975	19.01	-869	16.9	13.26
7/22/2016 13:00	5645	0.048	0.062	0.053	0.045	0.046	21.25	19.71	19.41	17.04	15.47	-506.3	20.33	-423.3	20.1	-972	19	-879	16.9	13.25
