TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1_Revised0930.CR6	36864	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
10/17/2016 7:00	400	0.099	0.042	0.038	0.033	0.027	6.669	8.45	10.98	11.66	12.04	-10.42	7.342	-2121	9.66	-7999	11.48	-7999	12	12.45
10/17/2016 8:00	401	0.1	0.043	0.038	0.033	0.027	6.358	8.25	10.95	11.66	12.03	-10.29	7.025	-2120	9.54	-7999	11.4	-7999	12	12.45
10/17/2016 9:00	402	0.1	0.043	0.038	0.033	0.027	6.291	8.06	10.92	11.66	12.03	-10.2	6.9	-2143	9.43	-7999	11.4	-7999	12	12.46
10/17/2016 10:00	403	0.101	0.044	0.038	0.033	0.027	6.453	7.916	10.88	11.65	12.02	-10.14	6.95	-2166	9.28	-7999	11.4	-7999	12	12.45
10/17/2016 11:00	404	0.102	0.044	0.038	0.033	0.027	6.884	7.89	10.84	11.65	12.02	-10.1	7.242	-2177	9.18	-7999	11.4	-7999	12	12.45
10/17/2016 12:00	405	0.102	0.045	0.038	0.033	0.027	7.133	7.937	10.8	11.64	12.02	-10.1	7.492	-2176	9.1	-7999	11.4	-7999	12	12.45
10/17/2016 13:00	406	0.102	0.045	0.038	0.033	0.027	7.505	8.03	10.76	11.63	12.02	-10.1	7.883	-2179	9.1	-7999	11.31	-7999	12	12.45
10/17/2016 14:00	407	0.103	0.046	0.038	0.033	0.027	7.989	8.18	10.71	11.62	12.01	-10.13	8.28	-2174	9.1	-7999	11.3	-7999	12	12.44
10/17/2016 15:00	408	0.103	0.046	0.038	0.033	0.027	9.07	8.4	10.67	11.61	12	-10.2	9.07	-2163	9.1	-7999	11.3	-7999	12	12.46
10/17/2016 16:00	409	0.11	0.047	0.038	0.033	0.027	8.81	8.75	10.64	11.6	11.99	-9.7	9.26	-2149	9.2	-7999	11.3	-7999	12	12.47
10/17/2016 17:00	410	0.114	0.048	0.038	0.033	0.027	9.77	8.95	10.61	11.59	11.99	-9.3	10.21	-2118	9.33	-7999	11.22	-7999	12	12.47
10/17/2016 18:00	411	0.115	0.049	0.038	0.033	0.027	10.26	9.25	10.58	11.58	12	-9.3	10.78	-2100	9.44	-7999	11.2	-7999	12	12.49
10/17/2016 19:00	412	0.116	0.05	0.038	0.033	0.027	9.53	9.5	10.56	11.58	11.99	-9.3	10.33	-2075	9.61	-7999	11.2	-7999	12	12.47
10/17/2016 20:00	413	0.116	0.052	0.038	0.033	0.027	8.18	9.46	10.55	11.57	11.99	-9.33	9.16	-2056	9.73	-7999	11.2	-7999	12	12.47
10/17/2016 21:00	414	0.115	0.053	0.038	0.033	0.027	7.035	9.14	10.55	11.55	11.97	-9.4	8.12	-2042	9.77	-7999	11.18	-7999	11.92	12.46
10/17/2016 22:00	415	0.115	0.053	0.038	0.033	0.027	6.132	8.7	10.54	11.54	11.97	-9.4	7.175	-2003	9.65	-7999	11.1	-7999	11.9	12.45
10/17/2016 23:00	416	0.114	0.054	0.038	0.033	0.027	5.448	8.22	10.54	11.53	11.96	-9.43	6.458	-2056	9.47	-7999	11.1	-7999	11.9	12.44
10/18/2016 0:00	417	0.114	0.055	0.038	0.033	0.027	5.293	7.778	10.53	11.52	11.96	-9.5	6.117	-2137	9.22	-7999	11.1	-7999	11.9	12.42
10/18/2016 1:00	418	0.114	0.056	0.038	0.033	0.027	5.55	7.472	10.53	11.5	11.95	-9.5	6.158	-2150	9	-7999	11.1	-7999	11.9	12.43
10/18/2016 2:00	419	0.117	0.056	0.038	0.033	0.027	5.707	7.326	10.5	11.49	11.95	-9.35	6.275	-2200	8.81	-7999	11.1	-7999	11.9	12.42
10/18/2016 3:00	420	0.121	0.058	0.038	0.033	0.027	5.678	7.244	10.48	11.49	11.94	-9.2	6.275	-2240	8.66	-7999	11.1	-7999	11.9	12.44
10/18/2016 4:00	421	0.122	0.059	0.038	0.033	0.027	5.191	7.145	10.43	11.48	11.94	-9.21	5.9	-2246	8.56	-7999	11.1	-7999	11.9	12.41
10/18/2016 5:00	422	0.122	0.061	0.038	0.033	0.027	4.859	6.966	10.4	11.46	11.92	-9.3	5.583	-2254	8.44	-7999	11.09	-7999	11.9	12.41
10/18/2016 6:00	423	0.122	0.062	0.037	0.033	0.027	4.704	6.767	10.36	11.45	11.92	-9.3	5.358	-2282	8.33	-7999	11	-7999	11.9	12.42
10/18/2016 7:00	424	0.123	0.063	0.037	0.033	0.027	4.897	6.62	10.31	11.44	11.91	-9.28	5.433	-2324	8.18	-7999	11	-7999	11.88	12.41
10/18/2016 8:00	425	0.129	0.065	0.038	0.033	0.027	4.893	6.519	10.26	11.43	11.9	-9.04	5.425	-2404	8.05	-7999	11	-7999	11.8	12.43
10/18/2016 9:00	426	0.134	0.068	0.037	0.033	0.027	4.708	6.369	10.22	11.42	11.89	-9	5.317	-2449	7.95	-7999	10.93	-7999	11.8	12.41
10/18/2016 10:00	427	0.139	0.072	0.037	0.033	0.027	4.624	6.244	10.17	11.4	11.89	-8.97	5.25	-2468	7.833	-7999	10.9	-7999	11.8	12.42
10/18/2016 11:00	428	0.142	0.077	0.037	0.033	0.027	4.804	6.139	10.1	11.39	11.88	-8.94	5.325	-2499	7.625	-7999	10.9	-7999	11.8	12.42
10/18/2016 12:00	429	0.143	0.081	0.037	0.033	0.027	5.183	6.201	10.04	11.37	11.87	-9	5.592	-2538	7.483	-7999	10.85	-7999	11.8	12.4
10/18/2016 13:00	430	0.142	0.085	0.037	0.033	0.027	5.776	6.343	9.98	11.35	11.87	-9	6.083	-2520	7.4	-7999	10.8	-7999	11.8	12.42
10/18/2016 14:00	431	0.141	0.089	0.037	0.033	0.027	6.626	6.554	9.93	11.34	11.86	-9.07	6.783	-2415	7.4	-7999	10.8	-7999	11.8	12.41
10/18/2016 15:00	432	0.14	0.091	0.037	0.033	0.027	7.301	6.863	9.87	11.33	11.85	-9.1	7.442	-2266	7.525	-7999	10.7	-7999	11.8	12.42
10/18/2016 16:00	433	0.142	0.093	0.037	0.033	0.027	7.395	7.194	9.82	11.31	11.84	-9.03	7.817	-2146	7.675	-7999	10.7	-7999	11.73	12.44
10/18/2016 17:00	434	0.147	0.097	0.037	0.033	0.027	7.132	7.381	9.77	11.28	11.84	-8.93	7.608	-2018	7.867	-7999	10.65	-7999	11.7	12.42
10/18/2016 18:00	435	0.147	0.101	0.037	0.033	0.027	7.924	7.502	9.73	11.26	11.82	-8.98	8.26	-1872	7.983	-7999	10.6	-7999	11.7	12.43
10/18/2016 19:00	436	0.146	0.103	0.037	0.033	0.027	7.658	7.691	9.71	11.25	11.81	-9	8.22	-1733	8.08	-7999	10.6	-7999	11.7	12.43
10/18/2016 20:00	437	0.144	0.105	0.037	0.033	0.027	6.952	7.768	9.68	11.23	11.8	-9.04	7.692	-1589	8.2	-7999	10.53	-7999	11.7	12.43
10/18/2016 21:00	438	0.143	0.106	0.037	0.033	0.027	6.464	7.683	9.66	11.2	11.8	-9.1	7.158	-1456	8.28	-7999	10.5	-7999	11.7	12.4
10/18/2016 22:00	439	0.142	0.108	0.037	0.033	0.027	6.077	7.535	9.65	11.18	11.79	-9.1	6.792	-1343	8.23	-7999	10.5	-7999	11.66	12.41
10/18/2016 23:00	440	0.141	0.108	0.037	0.033	0.027	5.943	7.376	9.65	11.16	11.77	-9.1	6.575	-1264	8.2	-7999	10.5	-7999	11.6	12.42
10/19/2016 0:00	441	0.14	0.109	0.037	0.033	0.027	5.726	7.251	9.64	11.14	11.76	-9.15	6.392	-1188	8.11	-7999	10.49	-7999	11.6	12.41
10/19/2016 1:00	442	0.139	0.11	0.037	0.032	0.027	5.453	7.107	9.62	11.13	11.76	-9.2	6.167	-1127	8.03	-7999	10.4	-7999	11.6	12.41
10/19/2016 2:00	443	0.138	0.11	0.037	0.032	0.027	5.341	6.97	9.61	11.11	11.74	-9.2	5.933	-1071	7.958	-7999	10.4	-7999	11.6	12.42
10/19/2016 3:00	444	0.137	0.111	0.037	0.032	0.027	5.352	6.867	9.59	11.09	11.74	-9.2	5.9	-1022	7.875	-7999	10.4	-7999	11.6	12.41
10/19/2016 4:00	445	0.136	0.111	0.037	0.032	0.027	5.297	6.781	9.56	11.06	11.71	-9.2	5.842	-969	7.8	-7999	10.4	-7999	11.56	12.41
10/19/2016 5:00	446	0.136	0.111	0.037	0.032	0.027	5.129	6.704	9.54	11.05	11.71	-9.2	5.717	-922	7.683	-7999	10.4	-7999	11.5	12.42
10/19/2016 6:00	447	0.135	0.111	0.037	0.032	0.027	4.328	6.6	9.52	11.03	11.69	-9.22	5.183	-868	7.6	-7999	10.34	-7999	11.5	12.41
10/19/2016 7:00	448	0.134	0.111	0.037	0.032	0.027	3.556	6.338	9.48	11.01	11.69	-9.29	4.525	-820	7.483	-7999	10.3	-7999	11.5	12.41
10/19/2016 8:00	449	0.133	0.111	0.037	0.032	0.027	2.979	6.037	9.46	11	11.68	-9.38	3.942	-775.8	7.35	-7999	10.3	-7999	11.5	12.42
10/19/2016 9:00	450	0.132	0.112	0.037	0.032	0.027	2.547	5.708	9.41	10.98	11.66	-9.47	3.525	-736	7.158	-7999	10.3	-7999	11.5	12.42
10/19/2016 10:00	451	0.132	0.112	0.037	0.032	0.027	2.414	5.405	9.38	10.96	11.65	-9.5	3.225	-700.8	6.967	-7999	10.27	-7999	11.5	12.4
10/19/2016 11:00	452	0.131	0.112	0.037	0.032	0.027	2.644	5.189	9.34	10.94	11.63	-9.5	3.275	-667	6.767	-7999	10.2	-7999	11.41	12.41
10/19/2016 12:00	453	0.131	0.112	0.037	0.032	0.027	3.348	5.097	9.29	10.93	11.62	-9.52	3.742	-632.8	6.608	-7999	10.2	-7999	11.4	12.41
10/19/2016 13:00	454	0.131	0.112	0.037	0.032	0.027	4.419	5.155	9.24	10.91	11.61	-9.48	4.533	-603.6	6.5	-7999	10.18	-7999	11.4	12.42
10/19/2016 14:00	455	0.131	0.112	0.037	0.032	0.026	6.151	5.445	9.17	10.9	11.6	-9.41	6.125	-576	6.5	-7999	10.07	-7999	11.4	12.39
10/19/2016 15:00	456	0.131	0.111	0.037	0.032	0.026	7.166	5.967	9.11	10.87	11.59	-9.5	7.15	-552.5	6.558	-7999	10	-7999	11.4	12.42
10/19/2016 16:00	457	0.131	0.112	0.037	0.032	0.027	8.76	6.537	9.05	10.85	11.58	-9.5	8.72	-529.2	6.758	-7999	10	-7999	11.4	12.45
10/19/2016 17:00	458	0.131	0.111	0.037	0.032	0.027	9.23	7.158	9.01	10.83	11.56	-9.5	9.56	-507.7	7.025	-7999	9.93	-7999	11.32	12.45
10/19/2016 18:00	459	0.13	0.111	0.037	0.032	0.026	9.12	7.608	8.98	10.81	11.56	-9.58	9.7	-487.2	7.35	-7999	9.9	-7999	11.3	12.46
10/19/2016 19:00	460	0.129	0.111	0.037	0.032	0.027	8.07	7.837	8.96	10.8	11.55	-9.68	8.95	-468.1	7.675	-7999	9.9	-7999	11.3	12.45
10/19/2016 20:00	461	0.128	0.111	0.037	0.032	0.027	6.626	7.799	8.96	10.78	11.52	-9.77	7.733	-449.9	7.908	-7999	9.8	-7999	11.3	12.41
10/19/2016 21:00	462	0.127	0.111	0.037	0.032	0.027	5.532	7.532	8.97	10.75	11.52	-9.88	6.675	-435	8	-7999	9.8	-7999	11.3	12.4
10/19/2016 22:00	463	0.126	0.111	0.037	0.032	0.026	4.71	7.188	9	10.73	11.5	-9.98	5.8	-422.2	7.908	-7999	9.8	-7999	11.27	12.42
10/19/2016 23:00	464	0.126	0.11	0.037	0.032	0.026	4.102	6.798	9.02	10.71	11.48	-10.07	5.167	-411.8	7.758	-7999	9.8	-7999	11.2	12.42
10/20/2016 0:00	465	0.125	0.11	0.037	0.032	0.026	3.627	6.447	9.04	10.69	11.48	-10.14	4.675	-402.5	7.525	-7999	9.8	-7999	11.2	12.41
10/20/2016 1:00	466	0.125	0.11	0.037	0.032	0.026	3.301	6.125	9.04	10.67	11.46	-10.22	4.208	-393.4	7.325	-7999	9.8	-7999	11.2	12.39
10/20/2016 2:00	467	0.124	0.11	0.037	0.032	0.027	3.204	5.84	9.04	10.64	11.45	-10.33	4.025	-384.8	7.125	-7999	9.8	-7999	11.2	12.41
10/20/2016 3:00	468	0.124	0.11	0.037	0.032	0.027	3.324	5.631	9.03	10.63	11.43	-10.46	4.017	-377.4	6.95	-7999	9.8	-7999	11.2	12.4
10/20/2016 4:00	469	0.124	0.11	0.037	0.032	0.026	3.726	5.508	9.01	10.62	11.42	-10.5	4.233	-368.7	6.792	-7999	9.76	-7999	11.16	12.39
10/20/2016 5:00	470	0.123	0.11	0.037	0.032	0.026	4.094	5.509	8.96	10.61	11.4	-10.59	4.592	-360	6.692	-7999	9.7	-7999	11.1	12.42
10/20/2016 6:00	471	0.123	0.11	0.037	0.032	0.026	4.221	5.539	8.93	10.58	11.39	-10.68	4.783	-351.6	6.6	-7999	9.7	-7999	11.1	12.42
10/20/2016 7:00	472	0.123	0.109	0.037	0.032	0.027	4.446	5.582	8.89	10.57	11.38	-10.79	4.95	-343.8	6.6	-7999	9.7	-7999	11.1	12.4
10/20/2016 8:00	473	0.123	0.109	0.037	0.032	0.027	4.568	5.65	8.85	10.56	11.37	-10.94	5.083	-337.1	6.6	-7999	9.7	-7999	11.1	12.42
10/20/2016 9:00	474	0.122	0.109	0.037	0.032	0.026	4.593	5.704	8.81	10.55	11.36	-11.06	5.1	-329.1	6.6	-7999	9.6	-7999	11.1	12.41
10/20/2016 10:00	475	0.122	0.109	0.037	0.032	0.027	4.851	5.721	8.77	10.53	11.35	-11.2	5.275	-321.9	6.6	-7999	9.6	-7999	11.1	12.41
10/20/2016 11:00	476	0.122	0.109	0.037	0.032	0.026	5.808	5.838	8.73	10.52	11.34	-11.33	5.933	-314.9	6.6	-7999	9.6	-7999	11.04	12.42
10/20/2016 12:00	477	0.122	0.109	0.037	0.032	0.026	6.969	6.114	8.71	10.49	11.32	-11.46	6.908	-308.6	6.675	-7999	9.57	-7999	11	12.41
10/20/2016 13:00	478	0.122	0.109	0.037	0.032	0.026	8.16	6.528	8.66	10.48	11.31	-11.6	7.992	-301.9	6.792	-7999	9.5	-7999	11	12.4
10/20/2016 14:00	479	0.122	0.108	0.037	0.032	0.027	9.31	7.048	8.64	10.46	11.29	-11.78	9.09	-295.6	7	-7999	9.5	-7999	11	12.4
10/20/2016 15:00	480	0.121	0.108	0.037	0.032	0.027	10.21	7.623	8.64	10.45	11.28	-11.98	10.02	-289.1	7.275	-7999	9.5	-7999	11	12.41
10/20/2016 16:00	481	0.121	0.108	0.037	0.032	0.027	11.1	8.2	8.63	10.42	11.28	-12.21	10.93	-282.7	7.625	-7999	9.46	-7999	11	12.42
10/20/2016 17:00	482	0.121	0.108	0.037	0.032	0.027	11.81	8.74	8.64	10.42	11.26	-12.43	11.82	-275.6	8.03	-7999	9.4	-7999	10.97	12.44
10/20/2016 18:00	483	0.12	0.108	0.037	0.032	0.027	11.34	9.22	8.66	10.4	11.25	-12.69	11.69	-268	8.38	-7999	9.4	-7999	10.9	12.43
10/20/2016 19:00	484	0.119	0.108	0.037	0.032	0.027	10.31	9.42	8.7	10.37	11.23	-12.87	10.96	-261.1	8.7	-7999	9.4	-7999	10.9	12.42
10/20/2016 20:00	485	0.118	0.108	0.037	0.032	0.027	8.9	9.35	8.75	10.35	11.22	-12.98	9.79	-253.6	8.91	-7999	9.4	-7999	10.9	12.41
10/20/2016 21:00	486	0.117	0.107	0.037	0.032	0.026	7.763	9.07	8.82	10.33	11.21	-13.03	8.76	-250.3	9	-7999	9.42	-7999	10.9	12.41
10/20/2016 22:00	487	0.116	0.107	0.037	0.032	0.027	6.907	8.71	8.89	10.33	11.19	-13.1	7.925	-245.5	8.95	-7999	9.5	-7999	10.9	12.41
10/20/2016 23:00	488	0.116	0.107	0.037	0.032	0.026	6.325	8.34	8.94	10.31	11.18	-13.1	7.225	-241.8	8.84	-7999	9.5	-7999	10.9	12.41
10/21/2016 0:00	489	0.115	0.106	0.037	0.032	0.027	5.805	7.984	9.01	10.3	11.17	-13.1	6.717	-237.8	8.68	-7999	9.5	-7999	10.84	12.39
10/21/2016 1:00	490	0.115	0.106	0.037	0.032	0.027	5.366	7.666	9.05	10.29	11.16	-13.06	6.283	-234.2	8.51	-7999	9.56	-7999	10.8	12.39
10/21/2016 2:00	491	0.114	0.106	0.037	0.032	0.027	5.017	7.355	9.07	10.28	11.14	-13	5.85	-230.6	8.33	-7999	9.6	-7999	10.8	12.37
10/21/2016 3:00	492	0.114	0.105	0.037	0.032	0.027	4.742	7.079	9.09	10.28	11.14	-13	5.533	-227.9	8.15	-7999	9.6	-7999	10.8	12.38
10/21/2016 4:00	493	0.114	0.105	0.037	0.032	0.026	4.496	6.831	9.1	10.28	11.12	-12.99	5.292	-223	7.958	-7999	9.6	-7999	10.8	12.37
10/21/2016 5:00	494	0.114	0.105	0.037	0.032	0.027	4.151	6.603	9.09	10.28	11.11	-12.93	5	-216.9	7.8	-7999	9.6	-7999	10.8	12.38
10/21/2016 6:00	495	0.113	0.105	0.037	0.032	0.026	3.885	6.367	9.08	10.28	11.1	-12.9	4.725	-207.5	7.575	-7999	9.6	-7999	10.8	12.37
10/21/2016 7:00	496	0.113	0.105	0.037	0.032	0.026	3.643	6.17	9.06	10.28	11.09	-12.9	4.467	-206	7.392	-7999	9.6	-7999	10.8	12.38
10/21/2016 8:00	497	0.113	0.105	0.037	0.032	0.027	3.414	5.939	9.03	10.26	11.09	-12.86	4.192	-201.2	7.242	-7999	9.6	-7999	10.8	12.38
10/21/2016 9:00	498	0.113	0.104	0.037	0.032	0.026	3.23	5.761	9	10.27	11.07	-12.82	4	-199.5	7.067	-7999	9.6	-7999	10.8	12.37
10/21/2016 10:00	499	0.113	0.104	0.037	0.032	0.026	3.249	5.568	8.95	10.26	11.07	-12.8	3.917	-195.5	6.942	-7999	9.6	-7999	10.8	12.37
10/21/2016 11:00	500	0.113	0.104	0.037	0.032	0.027	3.639	5.467	8.9	10.26	11.06	-12.8	4.108	-200.3	6.8	-7999	9.6	-7999	10.8	12.37
