TOA5	CR6Series	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1.CR6	58711	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
5/10/2016 13:30	0	0.133	0.155	0.14	0.094	0.101	13.57	12.89	12.34	12.83	12.2	-3265	16.4	-6443	13.42	-1765	16.22	-7999	16.4	12.82
5/10/2016 13:45	1	0.13	0.149	0.14	0.107	0.102	15.1	13.56	12.73	12.04	11.74	-2833	17.61	-2449	21.23	-1641	14.73	-7999	12.55	12.83
5/10/2016 14:00	2	0.131	0.143	0.143	0.108	0.102	13.97	12.68	12.93	11.83	11.31	NAN	15.49	NAN	14.3	NAN	12.12	NAN	11.79	12.84
5/10/2016 14:15	3	0.147	0.146	0.143	0.108	0.102	13.55	12.23	12.82	11.77	11.08	-1400	12.92	-1941	12.13	-1315	11.9	-3994	11.6	12.87
5/10/2016 14:30	4	0.147	0.146	0.143	0.108	0.102	13.91	12.16	12.76	11.72	10.91	-845	13.11	-1294	11.86	-1174	11.8	-2846	11.5	12.88
5/10/2016 14:45	5	0.147	0.147	0.143	0.108	0.102	14.05	12.18	12.7	11.68	10.8	-634.6	13.32	-1049	11.8	-1074	11.81	-2029	11.5	12.88
5/10/2016 15:00	6	0.147	0.147	0.143	0.108	0.102	14.26	12.24	12.65	11.63	10.72	-514.7	13.55	-921	11.8	-994	11.9	-1538	11.43	12.88
5/10/2016 15:15	7	0.147	0.147	0.143	0.108	0.102	15.33	12.32	12.63	11.6	10.63	-426	14.44	-806	11.8	-917	11.9	-1239	11.4	12.88
5/10/2016 15:30	8	0.148	0.147	0.143	0.108	0.102	16.07	12.44	12.59	11.56	10.58	-359.3	15.13	-718.7	11.8	-844	11.9	-1015	11.4	12.89
5/10/2016 15:45	9	0.148	0.147	0.143	0.108	0.102	16.5	12.59	12.55	11.53	10.53	-315.7	15.63	-651.7	11.83	-774.9	11.9	-869	11.4	12.89
5/10/2016 16:00	10	0.148	0.147	0.143	0.108	0.102	16.71	12.77	12.52	11.5	10.48	-285.6	16.02	-563.6	11.9	-718	11.9	-750.5	11.39	12.89
5/10/2016 16:15	11	0.148	0.147	0.143	0.108	0.102	17.31	12.96	12.49	11.47	10.44	-257	16.74	-520.4	11.97	-668.9	11.9	-656.4	11.3	12.89
5/10/2016 16:30	12	0.149	0.148	0.143	0.108	0.102	17.63	13.15	12.44	11.45	10.41	-234	17.31	-465.5	12.04	-625.7	11.9	-573.6	11.3	12.9
5/10/2016 16:45	13	0.148	0.148	0.143	0.108	0.102	17.58	13.36	12.41	11.43	10.38	-216.2	17.49	-433.8	12.12	-586.2	11.89	-514.2	11.3	12.89
5/10/2016 17:00	14	0.148	0.148	0.143	0.108	0.102	17.43	13.55	12.38	11.41	10.35	-202	17.42	-402.4	12.21	-548.5	11.8	-440.4	11.3	12.91
5/10/2016 17:15	15	0.148	0.148	0.143	0.108	0.102	17.05	13.73	12.35	11.38	10.33	-189.8	17.26	-377.5	12.3	-517.9	11.8	-415.1	11.3	12.91
5/10/2016 17:30	16	0.148	0.148	0.143	0.108	0.102	16.97	13.86	12.32	11.36	10.3	-177.3	17.43	-363.4	12.4	-488.5	11.8	-370.7	11.3	12.89
5/10/2016 17:45	17	0.147	0.148	0.143	0.108	0.102	16.9	13.98	12.3	11.33	10.28	-166.8	17.35	-347.7	12.49	-462.5	11.8	-347.4	11.2	12.91
5/10/2016 18:00	18	0.147	0.148	0.143	0.108	0.102	16.96	14.08	12.27	11.31	10.26	-157.8	17.13	-335.4	12.57	-439	11.8	-320.4	11.2	12.9
5/10/2016 18:15	19	0.147	0.148	0.143	0.108	0.102	17.06	14.15	12.24	11.29	10.25	-149.1	17.25	-319.2	12.63	-417.7	11.8	-301	11.2	12.9
5/10/2016 18:30	20	0.147	0.148	0.143	0.108	0.102	17.07	14.23	12.22	11.27	10.22	-140.3	17.64	-306	12.7	-398.6	11.8	-282.3	11.2	12.92
