TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1.CR6	58711	SoilPit1													
8/6/2016 19:15	7110	0.017	0.051	0.046	0.039	0.038	34.54	27.02	19.66	18.11	16.85	-517.6	34.7	-617.3	24.08	-3525	19.4	-1944	18.1	13.22
8/6/2016 19:30	7111	0.017	0.051	0.046	0.039	0.037	34.14	27.08	19.69	18.1	16.85	-527.6	34.34	-615.6	24.19	-3519	19.4	-1949	18.1	13.21
8/6/2016 19:45	7112	0.017	0.051	0.046	0.039	0.037	33.55	27.12	19.7	18.1	16.85	-531.9	33.81	-615.2	24.28	-3529	19.4	-1956	18.1	13.19
8/6/2016 20:00	7113	0.017	0.051	0.046	0.039	0.037	32.9	27.14	19.72	18.09	16.85	-537	33.39	-611.8	24.35	-3527	19.4	-1962	18.1	13.19
8/6/2016 20:15	7114	0.017	0.051	0.046	0.039	0.037	32.14	27.14	19.76	18.09	16.85	-545.1	32.77	-608.7	24.41	-3517	19.4	-1957	18.1	13.18
8/6/2016 20:30	7115	0.016	0.051	0.046	0.039	0.037	31.32	27.1	19.78	18.09	16.84	-563.2	32.1	-605.6	24.5	-3544	19.4	-1953	18.1	13.17
8/6/2016 20:45	7116	0.016	0.051	0.045	0.039	0.037	30.5	27.04	19.81	18.09	16.85	-574.6	31.37	-603.6	24.51	-3518	19.41	-1969	18.1	13.18
8/6/2016 21:00	7117	0.016	0.051	0.045	0.039	0.037	29.69	26.96	19.84	18.08	16.84	-592.9	30.59	-598.2	24.6	-3536	19.47	-1971	18.1	13.16
8/6/2016 21:15	7118	0.015	0.051	0.045	0.039	0.037	28.94	26.85	19.87	18.09	16.85	-609.7	29.93	-596.6	24.6	-3532	19.5	-1965	18.1	13.16
8/6/2016 21:30	7119	0.016	0.05	0.046	0.039	0.037	28.26	26.71	19.91	18.08	16.84	-618.3	29.21	-590.6	24.6	-3529	19.51	-1965	18.1	13.15
8/6/2016 21:45	7120	0.015	0.05	0.046	0.039	0.037	27.61	26.55	19.94	18.08	16.83	-633	28.61	-589.5	24.6	-3535	19.59	-1980	18.1	13.14
8/6/2016 22:00	7121	0.015	0.05	0.046	0.039	0.037	27.01	26.39	19.97	18.08	16.84	-653.9	27.99	-584.7	24.6	-3535	19.6	-1976	18.1	13.12
8/6/2016 22:15	7122	0.015	0.05	0.046	0.039	0.037	26.45	26.21	20.01	18.08	16.85	-663.9	27.43	-587.8	24.6	-3529	19.6	-1973	18.1	13.1
8/6/2016 22:30	7123	0.015	0.05	0.046	0.039	0.037	25.93	26.03	20.03	18.07	16.83	-677.6	26.95	-586.1	24.6	-3513	19.6	-1975	18.1	13.11
8/6/2016 22:45	7124	0.014	0.05	0.046	0.039	0.037	25.46	25.85	20.07	18.07	16.84	-691.7	26.49	-584.3	24.52	-3533	19.6	-1978	18.1	13.11
8/6/2016 23:00	7125	0.014	0.05	0.046	0.039	0.037	25.01	25.66	20.1	18.07	16.83	-710.5	25.97	-585.1	24.5	-3520	19.6	-1974	18.1	13.12
8/6/2016 23:15	7126	0.014	0.05	0.046	0.039	0.037	24.57	25.47	20.14	18.07	16.83	-719.4	25.55	-586.2	24.41	-3505	19.6	-1979	18.1	13.11
8/6/2016 23:30	7127	0.014	0.05	0.046	0.039	0.037	24.15	25.28	20.16	18.07	16.84	-726.6	25.15	-588.6	24.39	-3521	19.64	-1981	18.1	13.1
8/6/2016 23:45	7128	0.014	0.05	0.046	0.039	0.037	23.76	25.09	20.2	18.07	16.84	-739.7	24.79	-586.4	24.3	-3506	19.7	-1983	18.1	13.08
8/7/2016 0:00	7129	0.014	0.05	0.046	0.039	0.037	23.38	24.89	20.23	18.07	16.83	-752	24.44	-588	24.23	-3495	19.7	-1980	18.1	13.08
8/7/2016 0:15	7130	0.014	0.049	0.046	0.039	0.037	23.04	24.72	20.26	18.07	16.84	-762.2	24.1	-591.4	24.17	-3501	19.7	-1980	18.1	13.08
8/7/2016 0:30	7131	0.014	0.049	0.046	0.039	0.037	22.7	24.53	20.29	18.07	16.83	-777.5	23.77	-595.7	24.09	-3508	19.7	-1986	18.1	13.08
8/7/2016 0:45	7132	0.014	0.049	0.046	0.039	0.037	22.39	24.34	20.31	18.07	16.83	-785.8	23.37	-598.6	24	-3516	19.7	-1988	18.1	13.07
8/7/2016 1:00	7133	0.014	0.049	0.046	0.039	0.037	22.11	24.16	20.34	18.07	16.83	-792.6	23.09	-600.2	23.91	-3518	19.72	-1982	18.1	13.07
8/7/2016 1:15	7134	0.014	0.049	0.046	0.039	0.037	21.83	23.99	20.36	18.07	16.83	-799.2	22.81	-605.3	23.83	-3498	19.8	-1981	18.1	13.07
8/7/2016 1:30	7135	0.014	0.049	0.046	0.039	0.037	21.58	23.82	20.38	18.07	16.83	-807	22.56	-608.8	23.74	-3488	19.8	-1991	18.1	13.07
8/7/2016 1:45	7136	0.013	0.049	0.046	0.039	0.037	21.34	23.65	20.4	18.07	16.83	-823	22.31	-612.4	23.63	-3457	19.8	-1986	18.1	13.07
8/7/2016 2:00	7137	0.013	0.049	0.046	0.039	0.037	21.1	23.48	20.42	18.07	16.83	-834	22.09	-612.3	23.48	-3488	19.8	-1997	18.1	13.08
8/7/2016 2:15	7138	0.013	0.049	0.046	0.039	0.037	20.9	23.33	20.43	18.08	16.83	-851	21.87	-613.6	23.4	-3484	19.8	-1991	18.1	13.06
8/7/2016 2:30	7139	0.013	0.049	0.046	0.039	0.037	20.68	23.16	20.45	18.08	16.83	-858	21.66	-616.5	23.29	-3492	19.8	-1989	18.1	13.07
8/7/2016 2:45	7140	0.013	0.049	0.046	0.039	0.037	20.47	23.02	20.46	18.08	16.83	-860	21.45	-616.4	23.2	-3477	19.87	-1986	18.1	13.08
8/7/2016 3:00	7141	0.013	0.049	0.046	0.039	0.037	20.26	22.87	20.47	18.09	16.83	-868	21.25	-618.1	23.1	-3488	19.9	-1987	18.1	13.07
8/7/2016 3:15	7142	0.013	0.049	0.046	0.039	0.037	20.07	22.72	20.48	18.09	16.82	-871	21.05	-620.6	23.01	-3462	19.9	-1992	18.1	13.08
8/7/2016 3:30	7143	0.013	0.049	0.046	0.039	0.037	19.88	22.58	20.49	18.09	16.83	-880	20.87	-623.1	22.93	-3486	19.9	-1983	18.1	13.07
8/7/2016 3:45	7144	0.013	0.049	0.046	0.039	0.037	19.7	22.43	20.5	18.09	16.83	-882	20.69	-625.1	22.83	-3458	19.9	-1986	18.1	13.04
8/7/2016 4:00	7145	0.013	0.049	0.046	0.039	0.037	19.54	22.3	20.5	18.1	16.83	-893	20.53	-628.1	22.74	-3476	19.9	-1989	18.1	13.06
8/7/2016 4:15	7146	0.013	0.049	0.046	0.039	0.037	19.38	22.17	20.51	18.1	16.83	-892	20.35	-632.6	22.65	-3472	19.9	-1977	18.1	13.05
8/7/2016 4:30	7147	0.013	0.049	0.046	0.039	0.037	19.21	22.03	20.51	18.1	16.82	-899	20.19	-635.4	22.57	-3476	19.9	-1982	18.1	13.04
8/7/2016 4:45	7148	0.013	0.049	0.046	0.039	0.037	19.04	21.91	20.52	18.11	16.82	-918	20.04	-638	22.48	-3451	19.9	-1985	18.1	13.04
8/7/2016 5:00	7149	0.013	0.048	0.046	0.039	0.037	18.89	21.78	20.51	18.11	16.83	-930	19.87	-642.1	22.39	-3457	19.94	-1979	18.1	13.05
8/7/2016 5:15	7150	0.013	0.048	0.046	0.039	0.037	18.72	21.65	20.52	18.11	16.82	-938	19.73	-647.3	22.3	-3454	20	-1976	18.1	13.03
8/7/2016 5:30	7151	0.013	0.048	0.046	0.039	0.037	18.59	21.53	20.51	18.12	16.84	-948	19.56	-656.3	22.21	-3440	20	-1981	18.1	13.04
8/7/2016 5:45	7152	0.013	0.048	0.046	0.039	0.037	18.47	21.41	20.51	18.12	16.83	-954	19.37	-655.5	22.13	-3456	20	-1979	18.1	13.03
8/7/2016 6:00	7153	0.013	0.048	0.046	0.039	0.037	18.34	21.29	20.5	18.13	16.83	-1033	19.25	-660.9	22.04	-3438	20	-1984	18.1	13.04
8/7/2016 6:15	7154	0.013	0.048	0.046	0.039	0.038	18.25	21.18	20.5	18.13	16.84	-1295	19.13	-663.2	21.96	-3453	20	-1976	18.1	13.03
8/7/2016 6:30	7155	0.013	0.048	0.046	0.039	0.038	18.21	21.07	20.5	18.14	16.83	-1303	19.05	-664.6	21.89	-3454	20	-1980	18.1	13.04
8/7/2016 6:45	7156	0.013	0.048	0.046	0.039	0.038	18.21	20.97	20.48	18.14	16.83	-1329	19	-666.4	21.8	-3449	20	-1970	18.1	13.03
8/7/2016 7:00	7157	0.013	0.048	0.046	0.039	0.038	18.25	20.87	20.47	18.14	16.84	-1284	19	-668.4	21.71	-3436	20	-1972	18.1	13.04
8/7/2016 7:15	7158	0.013	0.048	0.046	0.039	0.038	18.31	20.77	20.46	18.15	16.83	-1256	19	-670	21.63	-3453	20	-1972	18.1	13.04
8/7/2016 7:30	7159	0.013	0.048	0.046	0.039	0.038	18.37	20.68	20.46	18.15	16.83	-1261	19	-671.3	21.56	-3438	20	-1967	18.1	13.04
8/7/2016 7:45	7160	0.013	0.048	0.046	0.039	0.038	18.32	20.61	20.44	18.15	16.84	-1340	19	-672.2	21.49	-3484	20	-1972	18.1	13.03
8/7/2016 8:00	7161	0.013	0.048	0.046	0.039	0.038	18.16	20.55	20.43	18.16	16.84	-1353	18.93	-673.6	21.4	-3470	20	-1972	18.1	13.03
8/7/2016 8:15	7162	0.013	0.048	0.046	0.039	0.038	17.99	20.48	20.41	18.16	16.84	-1361	18.79	-678.1	21.34	-3459	20	-1961	18.1	13.02
8/7/2016 8:30	7163	0.013	0.048	0.046	0.039	0.038	17.86	20.41	20.4	18.16	16.84	-1364	18.67	-677.7	21.29	-3451	20	-1950	18.1	13
8/7/2016 8:45	7164	0.013	0.048	0.046	0.039	0.038	17.77	20.35	20.39	18.17	16.84	-1376	18.58	-682.3	21.2	-3447	20	-1962	18.1	13.01
8/7/2016 9:00	7165	0.013	0.048	0.046	0.039	0.038	17.68	20.27	20.37	18.17	16.84	-1391	18.5	-683	21.15	-3435	20	-1954	18.1	13.02
8/7/2016 9:15	7166	0.013	0.048	0.046	0.039	0.038	17.58	20.2	20.36	18.17	16.85	-1396	18.41	-689	21.1	-3448	20	-1941	18.1	13
8/7/2016 9:30	7167	0.013	0.048	0.046	0.039	0.038	17.55	20.13	20.35	18.18	16.85	-1405	18.37	-690.4	21.01	-3469	20	-1958	18.1	13.02
8/7/2016 9:45	7168	0.013	0.048	0.046	0.039	0.038	17.59	20.05	20.33	18.18	16.84	-1415	18.37	-693	20.98	-3464	20	-1945	18.1	13.02
8/7/2016 10:00	7169	0.013	0.048	0.046	0.039	0.038	17.75	19.99	20.31	18.19	16.85	-1396	18.44	-696	20.9	-3471	20	-1955	18.1	13.03
8/7/2016 10:15	7170	0.013	0.048	0.046	0.039	0.038	17.93	19.92	20.29	18.19	16.85	-1380	18.57	-700.6	20.85	-3448	20	-1949	18.1	13.03
8/7/2016 10:30	7171	0.013	0.048	0.046	0.039	0.038	18.02	19.87	20.27	18.19	16.85	-1366	18.69	-703.1	20.8	-3473	20	-1939	18.1	13.03
8/7/2016 10:45	7172	0.013	0.048	0.046	0.039	0.037	18.3	19.83	20.26	18.19	16.85	-1354	18.87	-708	20.71	-3472	20	-1939	18.1	13.04
8/7/2016 11:00	7173	0.013	0.048	0.046	0.039	0.037	18.55	19.8	20.24	18.2	16.85	-1334	19.08	-709.3	20.7	-3473	20	-1939	18.1	13.05
8/7/2016 11:15	7174	0.013	0.048	0.046	0.039	0.037	18.68	19.78	20.22	18.2	16.86	-1296	19.25	-711.3	20.61	-3498	19.98	-1932	18.1	13.07
8/7/2016 11:30	7175	0.013	0.048	0.046	0.039	0.037	18.81	19.78	20.2	18.2	16.86	-1245	19.37	-715.5	20.6	-3470	19.91	-1938	18.12	13.08
8/7/2016 11:45	7176	0.013	0.048	0.046	0.039	0.037	18.97	19.77	20.18	18.2	16.86	-1075	19.54	-715.5	20.53	-3483	19.9	-1934	18.17	13.07
8/7/2016 12:00	7177	0.013	0.048	0.046	0.039	0.037	19.16	19.77	20.16	18.21	16.86	-972	19.71	-716	20.5	-3457	19.9	-1940	18.2	13.07
8/7/2016 12:15	7178	0.013	0.048	0.046	0.039	0.037	19.43	19.76	20.13	18.21	16.86	-939	19.89	-718.4	20.49	-3470	19.9	-1928	18.2	13.06
8/7/2016 12:30	7179	0.013	0.048	0.046	0.039	0.037	19.82	19.78	20.12	18.21	16.86	-921	20.13	-719.5	20.4	-3473	19.9	-1947	18.2	13.07
8/7/2016 12:45	7180	0.013	0.048	0.046	0.039	0.037	20.65	19.8	20.1	18.22	16.87	-906	20.44	-720.2	20.4	-3515	19.9	-1936	18.2	13.07
8/7/2016 13:00	7181	0.014	0.048	0.046	0.039	0.037	21.75	19.84	20.08	18.21	16.86	-886	20.88	-719.5	20.4	-3502	19.9	-1945	18.2	13.08
8/7/2016 13:15	7182	0.014	0.048	0.046	0.039	0.037	23	19.88	20.05	18.21	16.86	-871	21.49	-719.6	20.4	-3488	19.9	-1945	18.2	13.08
8/7/2016 13:30	7183	0.014	0.048	0.046	0.039	0.037	24.37	20	20.04	18.21	16.86	-848	22.19	-721	20.4	-3496	19.9	-1952	18.2	13.08
8/7/2016 13:45	7184	0.014	0.048	0.046	0.039	0.037	25.64	20.14	20.02	18.21	16.87	-804	23.02	-721.3	20.4	-3513	19.9	-1948	18.2	13.07
8/7/2016 14:00	7185	0.015	0.048	0.045	0.039	0.037	26.64	20.35	19.99	18.22	16.86	-784.7	23.94	-720	20.4	-3510	19.9	-1956	18.2	13.07
8/7/2016 14:15	7186	0.015	0.048	0.045	0.039	0.037	28.05	20.58	19.98	18.22	16.86	-747.9	24.97	-718.4	20.45	-3512	19.85	-1960	18.2	13.06
8/7/2016 14:30	7187	0.016	0.048	0.046	0.039	0.037	29.34	20.85	19.96	18.22	16.87	-718.7	26.08	-720.6	20.51	-3503	19.8	-1954	18.2	13.09
8/7/2016 14:45	7188	0.016	0.048	0.046	0.039	0.037	30.85	21.16	19.93	18.22	16.87	-684.4	27.33	-719	20.6	-3515	19.8	-1952	18.2	13.1
8/7/2016 15:00	7189	0.016	0.048	0.045	0.039	0.037	32.3	21.51	19.92	18.22	16.88	-648.9	28.63	-714.3	20.69	-3493	19.8	-1965	18.2	13.1
8/7/2016 15:15	7190	0.017	0.048	0.045	0.039	0.037	33.54	21.88	19.9	18.22	16.87	-619	29.86	-709.5	20.82	-3521	19.8	-1975	18.2	13.1
8/7/2016 15:30	7191	0.017	0.048	0.045	0.039	0.037	34.72	22.29	19.87	18.22	16.87	-597.1	31	-702.4	20.95	-3507	19.8	-1974	18.2	13.11
8/7/2016 15:45	7192	0.017	0.048	0.045	0.039	0.037	35.77	22.71	19.85	18.22	16.88	-571.6	32.1	-702.9	21.09	-3538	19.8	-1980	18.2	13.15
8/7/2016 16:00	7193	0.018	0.048	0.045	0.039	0.037	36.69	23.15	19.83	18.21	16.88	-550.6	33.12	-695.6	21.25	-3518	19.8	-1971	18.2	13.14
8/7/2016 16:15	7194	0.018	0.049	0.045	0.039	0.037	37.17	23.58	19.82	18.22	16.87	-535.2	34.01	-685	21.44	-3531	19.8	-1976	18.2	13.14
8/7/2016 16:30	7195	0.018	0.049	0.045	0.039	0.037	36.82	24.01	19.81	18.22	16.88	-529.4	34.53	-683.1	21.62	-3559	19.74	-1980	18.2	13.15
8/7/2016 16:45	7196	0.018	0.049	0.045	0.039	0.037	36.6	24.4	19.8	18.21	16.88	-527.3	34.6	-677.8	21.82	-3549	19.7	-1986	18.2	13.15
8/7/2016 17:00	7197	0.018	0.049	0.045	0.039	0.037	36.13	24.74	19.78	18.21	16.88	-528.3	34.47	-673.3	22.03	-3544	19.7	-1986	18.2	13.17
8/7/2016 17:15	7198	0.018	0.049	0.045	0.039	0.037	35.46	25.02	19.78	18.21	16.87	-530.2	34.27	-670.3	22.23	-3546	19.7	-1981	18.2	13.17
8/7/2016 17:30	7199	0.018	0.049	0.045	0.039	0.037	34.79	25.26	19.77	18.21	16.88	-532.2	33.95	-666.5	22.42	-3549	19.7	-1993	18.2	13.16
8/7/2016 17:45	7200	0.018	0.049	0.045	0.039	0.037	34.31	25.44	19.77	18.21	16.88	-535.7	33.6	-664.4	22.61	-3549	19.7	-1988	18.2	13.17
8/7/2016 18:00	7201	0.017	0.049	0.045	0.039	0.037	34.08	25.58	19.75	18.21	16.88	-537.6	33.34	-660.1	22.77	-3570	19.7	-1986	18.2	13.15
8/7/2016 18:15	7202	0.017	0.049	0.045	0.039	0.037	34.22	25.7	19.76	18.2	16.88	-537.8	33.34	-657.1	22.95	-3547	19.7	-1992	18.2	13.16
8/7/2016 18:30	7203	0.017	0.049	0.045	0.039	0.037	34.07	25.81	19.76	18.2	16.88	-536.5	33.55	-650.2	23.07	-3553	19.7	-1991	18.2	13.15
8/7/2016 18:45	7204	0.017	0.049	0.045	0.039	0.037	33.59	25.92	19.77	18.2	16.89	-536.1	33.64	-647.7	23.22	-3565	19.7	-1993	18.2	13.14
8/7/2016 19:00	7205	0.017	0.049	0.045	0.039	0.037	33.05	26.02	19.78	18.19	16.88	-537.5	33.39	-641.3	23.35	-3553	19.7	-2000	18.2	13.15
8/7/2016 19:15	7206	0.017	0.049	0.045	0.039	0.037	32.63	26.09	19.79	18.2	16.88	-543.5	32.98	-636.9	23.45	-3573	19.7	-1993	18.2	13.15
8/7/2016 19:30	7207	0.017	0.049	0.045	0.039	0.037	32.21	26.15	19.8	18.19	16.88	-551	32.65	-634.2	23.57	-3567	19.69	-2002	18.2	13.15
8/7/2016 19:45	7208	0.017	0.049	0.045	0.039	0.037	31.67	26.19	19.81	18.19	16.88	-562.8	32.23	-631.7	23.7	-3570	19.68	-1998	18.2	13.14
8/7/2016 20:00	7209	0.016	0.049	0.045	0.039	0.037	31.08	26.21	19.83	18.18	16.88	-570.1	31.77	-628	23.79	-3576	19.62	-2008	18.2	13.12
8/7/2016 20:15	7210	0.016	0.049	0.045	0.039	0.037	30.41	26.21	19.85	18.18	16.89	-577.7	31.27	-626.8	23.85	-3539	19.63	-2008	18.2	13.1
8/7/2016 20:30	7211	0.016	0.049	0.045	0.039	0.037	29.64	26.16	19.87	18.17	16.89	-592.7	30.59	-627.4	23.9	-3563	19.63	-2000	18.2	13.1
8/7/2016 20:45	7212	0.015	0.049	0.045	0.039	0.038	28.86	26.12	19.9	18.17	16.88	-608.4	29.92	-624.3	23.95	-3581	19.67	-2008	18.2	13.1
8/7/2016 21:00	7213	0.015	0.049	0.045	0.039	0.037	28.08	26.04	19.91	18.18	16.88	-620.8	29.17	-623.7	24	-3563	19.7	-2011	18.2	13.1
8/7/2016 21:15	7214	0.015	0.049	0.045	0.039	0.037	27.34	25.93	19.94	18.18	16.88	-637.6	28.5	-622.3	24	-3584	19.7	-2015	18.2	13.08
8/7/2016 21:30	7215	0.015	0.049	0.045	0.039	0.037	26.64	25.81	19.96	18.17	16.88	-659.6	27.79	-622.2	24	-3579	19.7	-2013	18.2	13.07
8/7/2016 21:45	7216	0.015	0.049	0.045	0.039	0.037	25.98	25.66	19.98	18.17	16.88	-669.7	27.18	-622.1	24	-3585	19.7	-2015	18.2	13.08
8/7/2016 22:00	7217	0.014	0.049	0.045	0.039	0.037	25.38	25.49	20.01	18.17	16.88	-684.1	26.61	-620.6	24	-3566	19.7	-2020	18.18	13.06
8/7/2016 22:15	7218	0.014	0.049	0.045	0.039	0.037	24.82	25.32	20.04	18.17	16.88	-708.9	26.02	-621.7	24	-3565	19.7	-2015	18.16	13.07
8/7/2016 22:30	7219	0.014	0.049	0.045	0.039	0.037	24.32	25.14	20.06	18.16	16.88	-721.4	25.5	-621	24	-3561	19.7	-2021	18.11	13.07
8/7/2016 22:45	7220	0.014	0.049	0.045	0.039	0.037	23.86	24.95	20.08	18.16	16.88	-729.7	25.06	-621	23.9	-3581	19.7	-2025	18.1	13.07
8/7/2016 23:00	7221	0.014	0.049	0.045	0.039	0.037	23.43	24.76	20.12	18.16	16.88	-739.3	24.65	-622.5	23.9	-3565	19.7	-2018	18.1	13.07
8/7/2016 23:15	7222	0.014	0.049	0.045	0.039	0.037	23.02	24.57	20.14	18.15	16.87	-756.4	24.25	-622	23.81	-3569	19.7	-2024	18.1	13.05
8/7/2016 23:30	7223	0.014	0.049	0.045	0.039	0.037	22.64	24.38	20.17	18.15	16.88	-772.8	23.86	-621.4	23.77	-3574	19.7	-2030	18.1	13.03
8/7/2016 23:45	7224	0.014	0.049	0.045	0.039	0.037	22.27	24.19	20.19	18.15	16.87	-784.5	23.44	-623.5	23.7	-3569	19.7	-2033	18.1	13.04
8/8/2016 0:00	7225	0.014	0.049	0.045	0.039	0.037	21.93	24	20.22	18.15	16.88	-794.1	23.07	-624.4	23.54	-3592	19.73	-2024	18.1	13.03
8/8/2016 0:15	7226	0.014	0.049	0.045	0.039	0.037	21.61	23.82	20.24	18.15	16.88	-802	22.75	-627.3	23.47	-3576	19.8	-2030	18.1	13.03
8/8/2016 0:30	7227	0.013	0.049	0.045	0.039	0.037	21.3	23.64	20.26	18.15	16.87	-817	22.44	-628.2	23.4	-3572	19.8	-2033	18.1	13.03
8/8/2016 0:45	7228	0.013	0.049	0.045	0.039	0.037	21.02	23.46	20.28	18.15	16.87	-836	22.16	-629.9	23.3	-3565	19.8	-2029	18.1	13.01
8/8/2016 1:00	7229	0.013	0.048	0.045	0.039	0.037	20.75	23.29	20.3	18.15	16.87	-848	21.89	-633.2	23.2	-3586	19.8	-2031	18.1	13
8/8/2016 1:15	7230	0.013	0.048	0.045	0.039	0.037	20.49	23.12	20.32	18.15	16.87	-863	21.63	-635.5	23.11	-3570	19.8	-2032	18.1	13
8/8/2016 1:30	7231	0.013	0.048	0.046	0.039	0.037	20.23	22.95	20.33	18.15	16.87	-865	21.38	-636.1	23.03	-3560	19.8	-2039	18.1	13
8/8/2016 1:45	7232	0.013	0.048	0.046	0.039	0.037	19.97	22.79	20.34	18.15	16.87	-872	21.12	-643.8	22.94	-3562	19.8	-2033	18.1	12.99
8/8/2016 2:00	7233	0.013	0.048	0.046	0.039	0.037	19.73	22.62	20.36	18.16	16.88	-875	20.89	-645.5	22.85	-3554	19.8	-2041	18.1	13
8/8/2016 2:15	7234	0.013	0.048	0.046	0.039	0.037	19.5	22.47	20.37	18.16	16.88	-885	20.65	-652.4	22.76	-3572	19.88	-2033	18.1	13
8/8/2016 2:30	7235	0.013	0.048	0.046	0.039	0.037	19.27	22.3	20.38	18.15	16.87	-895	20.43	-656.3	22.67	-3559	19.9	-2040	18.1	13
8/8/2016 2:45	7236	0.013	0.048	0.046	0.039	0.037	19.04	22.17	20.39	18.16	16.87	-905	20.21	-662.2	22.58	-3546	19.9	-2038	18.1	12.98
8/8/2016 3:00	7237	0.013	0.048	0.045	0.039	0.037	18.85	22	20.4	18.16	16.88	-922	20	-662.8	22.49	-3530	19.9	-2034	18.1	12.99
