TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1.CR6	58711	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
8/6/2016 14:00	7089	0.016	0.048	0.046	0.039	0.038	29.52	20.71	19.75	18.14	16.85	-738.7	25.21	-710.9	20.46	-3462	19.7	-1831	18.1	13.19
8/6/2016 14:15	7090	0.016	0.048	0.046	0.039	0.038	31.09	21.01	19.72	18.15	16.86	-705.3	26.56	-706.5	20.53	-3431	19.7	-1828	18.1	13.19
8/6/2016 14:30	7091	0.017	0.049	0.046	0.039	0.038	32.55	21.36	19.7	18.14	16.86	-668.7	27.89	-703.8	20.62	-3464	19.66	-1837	18.1	13.18
8/6/2016 14:45	7092	0.017	0.049	0.046	0.039	0.038	33.9	21.74	19.68	18.14	16.85	-632.4	29.2	-697.6	20.73	-3459	19.6	-1842	18.1	13.19
8/6/2016 15:00	7093	0.017	0.049	0.046	0.039	0.038	35.17	22.16	19.68	18.14	16.85	-606.7	30.46	-691.5	20.86	-3483	19.6	-1849	18.1	13.21
8/6/2016 15:15	7094	0.018	0.049	0.046	0.039	0.038	36.26	22.6	19.67	18.14	16.85	-580.1	31.63	-686.1	21.03	-3466	19.6	-1869	18.1	13.22
8/6/2016 15:30	7095	0.018	0.049	0.046	0.039	0.038	37.3	23.04	19.65	18.14	16.86	-559.6	32.75	-679.6	21.19	-3470	19.6	-1864	18.1	13.23
8/6/2016 15:45	7096	0.018	0.049	0.046	0.039	0.038	38.24	23.51	19.63	18.13	16.85	-538.3	33.79	-676.2	21.38	-3478	19.6	-1872	18.1	13.25
8/6/2016 16:00	7097	0.019	0.049	0.046	0.039	0.038	39.07	23.97	19.63	18.14	16.85	-524.9	34.77	-672.5	21.57	-3456	19.6	-1871	18.1	13.25
8/6/2016 16:15	7098	0.019	0.049	0.046	0.039	0.038	39.55	24.44	19.61	18.13	16.85	-505.6	35.65	-667.5	21.79	-3515	19.6	-1876	18.1	13.25
8/6/2016 16:30	7099	0.019	0.049	0.045	0.039	0.038	39.13	24.87	19.59	18.13	16.85	-498.6	36.2	-665.1	22.01	-3495	19.6	-1885	18.1	13.26
8/6/2016 16:45	7100	0.019	0.05	0.045	0.039	0.038	38.68	25.28	19.59	18.13	16.85	-498.1	36.23	-662.3	22.23	-3506	19.6	-1897	18.1	13.26
8/6/2016 17:00	7101	0.019	0.05	0.045	0.039	0.038	38.12	25.62	19.58	18.13	16.86	-497.8	36.07	-658.1	22.47	-3497	19.55	-1896	18.1	13.27
8/6/2016 17:15	7102	0.019	0.05	0.046	0.039	0.038	37.43	25.91	19.6	18.13	16.85	-498.9	35.97	-648.9	22.69	-3499	19.5	-1906	18.1	13.26
8/6/2016 17:30	7103	0.018	0.05	0.046	0.039	0.038	36.76	26.17	19.58	18.12	16.85	-502.5	35.72	-642	22.9	-3511	19.5	-1901	18.1	13.27
8/6/2016 17:45	7104	0.018	0.05	0.046	0.039	0.038	36.18	26.36	19.6	18.12	16.85	-504.1	35.36	-632.4	23.11	-3511	19.47	-1928	18.1	13.25
8/6/2016 18:00	7105	0.018	0.05	0.046	0.039	0.038	35.85	26.5	19.59	18.12	16.85	-510.2	35.07	-630.7	23.29	-3507	19.4	-1928	18.1	13.23
8/6/2016 18:15	7106	0.018	0.05	0.046	0.039	0.038	35.96	26.63	19.6	18.12	16.85	-511.6	35.01	-625.6	23.47	-3506	19.4	-1912	18.1	13.22
8/6/2016 18:30	7107	0.018	0.05	0.046	0.039	0.038	35.88	26.73	19.62	18.11	16.85	-509.7	35.21	-622.4	23.71	-3530	19.4	-1933	18.1	13.23
8/6/2016 18:45	7108	0.018	0.051	0.046	0.039	0.038	35.5	26.84	19.63	18.11	16.85	-506.1	35.36	-619.4	23.85	-3533	19.4	-1937	18.1	13.23
8/6/2016 19:00	7109	0.018	0.051	0.046	0.039	0.038	35	26.95	19.65	18.1	16.85	-509	35.16	-618.5	23.97	-3532	19.4	-1942	18.1	13.23
